device_time,host_time,ecg
599616346769.554,1780929514025.1938,1314
599616346769.554,1780929514025.229,1291
599616346769.554,1780929514025.2422,1266
599616346769.554,1780929514025.255,1235
599616346769.554,1780929514025.268,1146
599616346769.554,1780929514025.281,1034
599616346769.554,1780929514025.294,957
599616346769.554,1780929514025.307,896
599616346769.554,1780929514025.326,821
599616346769.554,1780929514025.3389,725
599616346769.554,1780929514025.353,652
599616346769.554,1780929514025.366,632
599616346769.554,1780929514025.379,623
599616346769.554,1780929514025.392,609
599616346769.554,1780929514025.405,611
599616346769.554,1780929514025.418,609
599616346769.554,1780929514025.43,607
599616346769.554,1780929514025.443,623
599616346769.554,1780929514025.456,634
599616346769.554,1780929514025.469,636
599616346769.554,1780929514025.481,643
599616346769.554,1780929514025.4941,648
599616346769.554,1780929514025.51,652
599616346769.554,1780929514025.523,664
599616346769.554,1780929514025.5361,645
599616346769.554,1780929514025.5488,593
599616346769.554,1780929514025.561,566
599616346769.554,1780929514025.574,577
599616346769.554,1780929514025.5872,591
599616346769.554,1780929514025.599,595
599616346769.554,1780929514025.612,598
599616346769.554,1780929514025.625,598
599616346769.554,1780929514025.637,589
599616346769.554,1780929514025.65,573
599616346769.554,1780929514025.6628,564
599616346769.554,1780929514025.675,570
599616346769.554,1780929514025.708,577
599616346769.554,1780929514025.72,570
599616346769.554,1780929514025.733,543
599616346769.554,1780929514025.746,509
599616346769.554,1780929514025.758,514
599616346769.554,1780929514025.771,536
599616346769.554,1780929514025.784,536
599616346769.554,1780929514025.7969,534
599616346769.554,1780929514025.81,541
599616346769.554,1780929514025.822,509
599616346769.554,1780929514025.835,470
599616346769.554,1780929514025.847,482
599616346769.554,1780929514025.8591,495
599616346769.554,1780929514025.872,486
599616346769.554,1780929514025.903,484
599616346769.554,1780929514025.917,493
599616346769.554,1780929514025.929,504
599616346769.554,1780929514025.9421,509
599616346769.554,1780929514025.954,504
599616346769.554,1780929514025.9668,477
599616346769.554,1780929514025.979,436
599616346769.554,1780929514025.991,425
599616346769.554,1780929514026.0261,452
599616346769.554,1780929514026.0388,466
599616346769.554,1780929514026.051,459
599616346769.554,1780929514026.0898,454
599616346769.554,1780929514026.103,457
599616346769.554,1780929514026.115,464
599616346769.554,1780929514026.1309,466
599616346769.554,1780929514026.181,432
599616346769.554,1780929514026.215,370
599616347331.426,1780929514610.341,352
599616347331.426,1780929514610.376,373
599616347331.426,1780929514610.3872,393
599616347331.426,1780929514610.398,425
599616347331.426,1780929514610.4072,457
599616347331.426,1780929514610.417,466
599616347331.426,1780929514610.426,450
599616347331.426,1780929514610.436,416
599616347331.426,1780929514610.446,386
599616347331.426,1780929514610.455,384
599616347331.426,1780929514610.483,386
599616347331.426,1780929514610.493,363
599616347331.426,1780929514610.502,307
599616347331.426,1780929514610.513,261
599616347331.426,1780929514610.522,259
599616347331.426,1780929514610.531,282
599616347331.426,1780929514610.5398,293
599616347331.426,1780929514610.555,295
599616347331.426,1780929514610.564,288
599616347331.426,1780929514610.574,259
599616347331.426,1780929514610.584,229
599616347331.426,1780929514610.594,243
599616347331.426,1780929514610.603,270
599616347331.426,1780929514610.6118,270
599616347331.426,1780929514610.621,266
599616347331.426,1780929514610.631,288
599616347331.426,1780929514610.6401,318
599616347331.426,1780929514610.6501,370
599616347331.426,1780929514610.659,532
599616347331.426,1780929514610.669,862
599616347331.426,1780929514610.678,1098
599616347331.426,1780929514610.688,716
599616347331.426,1780929514610.697,-147
599616347331.426,1780929514610.706,-482
599616347331.426,1780929514610.716,-45
599616347331.426,1780929514610.731,266
599616347331.426,1780929514610.741,206
599616347331.426,1780929514610.757,218
599616347331.426,1780929514610.7668,291
599616347331.426,1780929514610.776,250
599616347331.426,1780929514610.786,200
599616347331.426,1780929514610.795,213
599616347331.426,1780929514610.8042,229
599616347331.426,1780929514610.8142,236
599616347331.426,1780929514610.823,261
599616347331.426,1780929514610.833,286
599616347331.426,1780929514610.842,302
599616347331.426,1780929514610.851,307
599616347331.426,1780929514610.861,309
599616347331.426,1780929514610.8699,329
599616347331.426,1780929514610.887,357
599616347331.426,1780929514611.0042,377
599616347331.426,1780929514611.023,393
599616347331.426,1780929514611.034,398
599616347331.426,1780929514611.043,411
599616347331.426,1780929514611.054,445
599616347331.426,1780929514611.064,482
599616347331.426,1780929514611.074,518
599616347331.426,1780929514611.083,541
599616347331.426,1780929514611.092,525
599616347331.426,1780929514611.102,507
599616347331.426,1780929514611.115,536
599616347331.426,1780929514611.124,557
599616347331.426,1780929514611.133,550
599616347331.426,1780929514611.143,541
599616347331.426,1780929514611.1519,500
599616347331.426,1780929514611.161,445
599616347331.426,1780929514611.1692,413
599616347331.426,1780929514611.178,373
599616347331.426,1780929514611.187,307
599616347331.426,1780929514611.197,241
599616347331.426,1780929514611.206,179
599616347331.426,1780929514611.259,138
599616347893.3285,1780929515195.111,129
599616347893.3285,1780929515195.1548,127
599616347893.3285,1780929515195.17,122
599616347893.3285,1780929515195.2761,118
599616347893.3285,1780929515195.3052,109
599616347893.3285,1780929515195.3198,113
599616347893.3285,1780929515195.334,125
599616347893.3285,1780929515195.3481,93
599616347893.3285,1780929515195.3608,34
599616347893.3285,1780929515195.374,-6
599616347893.3285,1780929515195.387,-27
599616347893.3285,1780929515195.401,-15
599616347893.3285,1780929515195.413,22
599616347893.3285,1780929515195.426,45
599616347893.3285,1780929515195.4392,52
599616347893.3285,1780929515195.451,31
599616347893.3285,1780929515195.4639,11
599616347893.3285,1780929515195.476,29
599616347893.3285,1780929515195.489,65
599616347893.3285,1780929515195.501,81
599616347893.3285,1780929515195.54,86
599616347893.3285,1780929515195.554,79
599616347893.3285,1780929515195.566,70
599616347893.3285,1780929515195.579,86
599616347893.3285,1780929515195.591,113
599616347893.3285,1780929515195.604,129
599616347893.3285,1780929515195.617,136
599616347893.3285,1780929515195.629,109
599616347893.3285,1780929515195.641,65
599616347893.3285,1780929515195.653,75
599616347893.3285,1780929515195.666,111
599616347893.3285,1780929515195.678,122
599616347893.3285,1780929515195.6912,122
599616347893.3285,1780929515195.7031,118
599616347893.3285,1780929515195.7148,113
599616347893.3285,1780929515195.728,129
599616347893.3285,1780929515195.751,152
599616347893.3285,1780929515195.7642,161
599616347893.3285,1780929515195.776,145
599616347893.3285,1780929515195.789,106
599616347893.3285,1780929515195.801,102
599616347893.3285,1780929515195.814,122
599616347893.3285,1780929515195.8262,141
599616347893.3285,1780929515195.838,152
599616347893.3285,1780929515195.851,156
599616347893.3285,1780929515195.863,156
599616347893.3285,1780929515195.875,156
599616347893.3285,1780929515195.888,152
599616347893.3285,1780929515195.9,120
599616347893.3285,1780929515195.9119,100
599616347893.3285,1780929515195.925,109
599616347893.3285,1780929515195.937,113
599616347893.3285,1780929515195.949,100
599616347893.3285,1780929515195.962,86
599616347893.3285,1780929515195.978,93
599616347893.3285,1780929515195.991,120
599616347893.3285,1780929515196.004,138
599616347893.3285,1780929515196.017,154
599616347893.3285,1780929515196.0298,188
599616347893.3285,1780929515196.042,222
599616347893.3285,1780929515196.06,225
599616347893.3285,1780929515196.074,186
599616347893.3285,1780929515196.172,141
599616347893.3285,1780929515196.185,125
599616347893.3285,1780929515196.198,131
599616347893.3285,1780929515196.21,127
599616347893.3285,1780929515196.223,118
599616347893.3285,1780929515196.2349,102
599616347893.3285,1780929515196.248,70
599616347893.3285,1780929515196.26,52
599616347893.3285,1780929515196.2732,65
599616347893.3285,1780929515196.368,86
599616347893.3285,1780929515196.39,100
599616348455.2004,1780929515736.326,111
599616348455.2004,1780929515736.345,118
599616348455.2004,1780929515736.355,127
599616348455.2004,1780929515736.365,136
599616348455.2004,1780929515736.375,147
599616348455.2004,1780929515736.385,166
599616348455.2004,1780929515736.394,186
599616348455.2004,1780929515736.404,252
599616348455.2004,1780929515736.414,484
599616348455.2004,1780929515736.423,855
599616348455.2004,1780929515736.4321,934
599616348455.2004,1780929515736.4421,277
599616348455.2004,1780929515736.451,-593
599616348455.2004,1780929515736.461,-650
599616348455.2004,1780929515736.482,-122
599616348455.2004,1780929515736.492,59
599616348455.2004,1780929515736.501,-59
599616348455.2004,1780929515736.51,-38
599616348455.2004,1780929515736.519,18
599616348455.2004,1780929515736.5352,4
599616348455.2004,1780929515736.5452,20
599616348455.2004,1780929515736.554,59
599616348455.2004,1780929515736.563,70
599616348455.2004,1780929515736.572,86
599616348455.2004,1780929515736.581,106
599616348455.2004,1780929515736.5898,120
599616348455.2004,1780929515736.5999,141
599616348455.2004,1780929515736.609,156
599616348455.2004,1780929515736.6182,168
599616348455.2004,1780929515736.6272,186
599616348455.2004,1780929515736.636,193
599616348455.2004,1780929515736.645,202
599616348455.2004,1780929515736.654,225
599616348455.2004,1780929515736.664,247
599616348455.2004,1780929515736.673,270
599616348455.2004,1780929515736.682,304
599616348455.2004,1780929515736.691,320
599616348455.2004,1780929515736.732,307
599616348455.2004,1780929515736.777,316
599616348455.2004,1780929515736.998,363
599616348455.2004,1780929515737.0132,400
599616348455.2004,1780929515737.1099,404
599616348455.2004,1780929515737.251,391
599616348455.2004,1780929515737.269,388
599616348455.2004,1780929515737.279,379
599616348455.2004,1780929515737.289,348
599616348455.2004,1780929515737.298,318
599616348455.2004,1780929515737.3071,275
599616348455.2004,1780929515737.316,209
599616348455.2004,1780929515737.326,152
599616348455.2004,1780929515737.335,111
599616348455.2004,1780929515737.344,65
599616348455.2004,1780929515737.3508,31
599616348455.2004,1780929515737.3582,13
599616348455.2004,1780929515737.365,0
599616348455.2004,1780929515737.373,-6
599616348455.2004,1780929515737.3801,-31
599616348455.2004,1780929515737.388,-86
599616348455.2004,1780929515737.396,-97
599616348455.2004,1780929515737.4028,-65
599616348455.2004,1780929515737.504,-45
599616348455.2004,1780929515737.5159,-27
599616348455.2004,1780929515737.524,0
599616348455.2004,1780929515737.532,13
599616348455.2004,1780929515737.541,4
599616348455.2004,1780929515737.548,-18
599616348455.2004,1780929515737.556,-25
599616348455.2004,1780929515737.564,4
599616348455.2004,1780929515737.571,29
599616348455.2004,1780929515737.578,34
599616348455.2004,1780929515737.585,40
599616348455.2004,1780929515737.593,50
599616348455.2004,1780929515737.6,63
599616349017.0725,1780929516320.731,84
599616349017.0725,1780929516320.7532,97
599616349017.0725,1780929516320.759,88
599616349017.0725,1780929516320.786,43
599616349017.0725,1780929516320.7952,-13
599616349017.0725,1780929516320.802,-15
599616349017.0725,1780929516320.8088,15
599616349017.0725,1780929516320.8152,27
599616349017.0725,1780929516320.82,22
599616349017.0725,1780929516320.8262,-20
599616349017.0725,1780929516320.8352,-79
599616349017.0725,1780929516320.841,-75
599616349017.0725,1780929516320.847,-31
599616349017.0725,1780929516320.853,-13
599616349017.0725,1780929516320.859,-13
599616349017.0725,1780929516321.296,-2
599616349017.0725,1780929516321.3079,11
599616349017.0725,1780929516321.3142,34
599616349017.0725,1780929516321.321,59
599616349017.0725,1780929516321.327,72
599616349017.0725,1780929516321.333,77
599616349017.0725,1780929516321.34,77
599616349017.0725,1780929516321.346,77
599616349017.0725,1780929516321.352,50
599616349017.0725,1780929516321.357,6
599616349017.0725,1780929516321.363,6
599616349017.0725,1780929516321.369,29
599616349017.0725,1780929516321.375,22
599616349017.0725,1780929516321.381,25
599616349017.0725,1780929516321.387,45
599616349017.0725,1780929516321.393,63
599616349017.0725,1780929516321.399,75
599616349017.0725,1780929516321.46,65
599616349017.0725,1780929516321.467,31
599616349017.0725,1780929516321.473,15
599616349017.0725,1780929516321.479,18
