packet_id,device_time,host_time,x,y,z
5,599617366815.8,1780930534044.8862,-89,94,-1023
5,599617366815.8,1780930534044.891,-90,95,-1022
5,599617366815.8,1780930534044.896,-86,95,-1026
5,599617366815.8,1780930534044.9,-88,92,-1020
5,599617366815.8,1780930534044.905,-89,95,-1020
5,599617366815.8,1780930534044.909,-90,96,-1019
5,599617366815.8,1780930534044.914,-89,96,-1021
5,599617366815.8,1780930534044.918,-87,97,-1018
5,599617366815.8,1780930534044.923,-87,96,-1020
5,599617366815.8,1780930534044.927,-87,94,-1025
5,599617366815.8,1780930534044.932,-89,95,-1023
5,599617366815.8,1780930534044.938,-85,96,-1020
5,599617366815.8,1780930534044.943,-85,94,-1021
5,599617366815.8,1780930534044.947,-90,94,-1019
5,599617366815.8,1780930534044.952,-89,92,-1017
5,599617366815.8,1780930534044.956,-88,94,-1021
5,599617366815.8,1780930534044.961,-88,95,-1018
5,599617366815.8,1780930534044.965,-87,93,-1017
5,599617366815.8,1780930534044.969,-86,93,-1022
5,599617366815.8,1780930534044.974,-90,96,-1018
5,599617366815.8,1780930534044.979,-89,93,-1021
5,599617366815.8,1780930534044.983,-88,95,-1024
5,599617366815.8,1780930534044.988,-86,92,-1015
5,599617366815.8,1780930534044.993,-88,95,-1016
5,599617366815.8,1780930534044.997,-91,94,-1023
5,599617366815.8,1780930534045.002,-87,94,-1020
6,599617366997.7179,1780930534224.625,-85,91,-1018
6,599617366997.7179,1780930534224.659,-87,94,-1017
6,599617366997.7179,1780930534224.6821,-88,92,-1018
6,599617366997.7179,1780930534224.704,-87,93,-1020
6,599617366997.7179,1780930534224.725,-89,94,-1014
6,599617366997.7179,1780930534224.7441,-87,93,-1015
6,599617366997.7179,1780930534224.7642,-87,94,-1020
6,599617366997.7179,1780930534224.784,-86,94,-1018
6,599617366997.7179,1780930534224.803,-87,95,-1027
6,599617366997.7179,1780930534224.823,-91,95,-1021
6,599617366997.7179,1780930534224.842,-86,96,-1028
6,599617366997.7179,1780930534224.862,-85,95,-1028
6,599617366997.7179,1780930534224.8818,-89,94,-1022
6,599617366997.7179,1780930534224.901,-92,92,-1021
6,599617366997.7179,1780930534224.92,-85,93,-1014
6,599617366997.7179,1780930534224.94,-86,93,-1019
6,599617366997.7179,1780930534224.959,-90,94,-1024
6,599617366997.7179,1780930534224.986,-87,96,-1026
6,599617366997.7179,1780930534225.006,-89,94,-1017
6,599617366997.7179,1780930534225.025,-86,94,-1018
6,599617366997.7179,1780930534225.045,-88,95,-1018
6,599617366997.7179,1780930534225.06,-89,94,-1024
6,599617366997.7179,1780930534225.08,-87,95,-1018
6,599617366997.7179,1780930534225.0928,-88,95,-1020
6,599617366997.7179,1780930534225.105,-87,97,-1019
6,599617366997.7179,1780930534225.118,-89,94,-1018
6,599617366997.7179,1780930534225.131,-91,94,-1019
6,599617366997.7179,1780930534225.155,-89,95,-1019
6,599617366997.7179,1780930534225.168,-88,94,-1019
6,599617366997.7179,1780930534225.1812,-89,93,-1017
6,599617366997.7179,1780930534225.193,-90,94,-1020
6,599617366997.7179,1780930534225.2058,-92,96,-1021
6,599617366997.7179,1780930534225.218,-91,95,-1020
6,599617366997.7179,1780930534225.231,-93,94,-1021
6,599617366997.7179,1780930534225.2432,-89,94,-1021
6,599617366997.7179,1780930534225.2651,-90,94,-1018
7,599617367179.5747,1780930534404.994,-99,96,-1016
7,599617367179.5747,1780930534405.04,-91,96,-1020
7,599617367179.5747,1780930534405.07,-91,94,-1024
7,599617367179.5747,1780930534405.098,-90,95,-1024
7,599617367179.5747,1780930534405.137,-86,95,-1022
7,599617367179.5747,1780930534405.164,-89,95,-1021
7,599617367179.5747,1780930534405.191,-91,94,-1021
7,599617367179.5747,1780930534405.2178,-91,95,-1022
7,599617367179.5747,1780930534405.2441,-90,95,-1021
7,599617367179.5747,1780930534405.27,-86,96,-1023
7,599617367179.5747,1780930534405.2961,-89,94,-1027
7,599617367179.5747,1780930534405.322,-86,94,-1024
7,599617367179.5747,1780930534405.3481,-87,96,-1023
7,599617367179.5747,1780930534405.375,-90,96,-1021
7,599617367179.5747,1780930534405.401,-88,95,-1021
7,599617367179.5747,1780930534405.426,-91,94,-1018
7,599617367179.5747,1780930534405.453,-87,95,-1020
7,599617367179.5747,1780930534405.482,-90,93,-1018
7,599617367179.5747,1780930534405.5679,-88,93,-1022
7,599617367179.5747,1780930534405.596,-88,93,-1019
7,599617367179.5747,1780930534405.622,-89,92,-1019
7,599617367179.5747,1780930534405.648,-86,94,-1025
7,599617367179.5747,1780930534405.675,-86,95,-1021
7,599617367179.5747,1780930534405.7058,-88,93,-1023
7,599617367179.5747,1780930534405.732,-86,95,-1020
7,599617367179.5747,1780930534405.7578,-88,94,-1019
7,599617367179.5747,1780930534405.7852,-87,95,-1024
7,599617367179.5747,1780930534405.811,-83,96,-1023
7,599617367179.5747,1780930534405.8372,-87,94,-1019
7,599617367179.5747,1780930534405.863,-87,93,-1026
7,599617367179.5747,1780930534405.889,-84,93,-1024
7,599617367179.5747,1780930534405.914,-85,93,-1020
7,599617367179.5747,1780930534405.941,-89,94,-1024
7,599617367179.5747,1780930534405.967,-90,95,-1019
7,599617367179.5747,1780930534405.993,-91,96,-1023
7,599617367179.5747,1780930534406.019,-88,93,-1024
8,599617367361.4619,1780930534629.458,-92,96,-1028
8,599617367361.4619,1780930534629.524,-90,95,-1014
8,599617367361.4619,1780930534629.534,-90,94,-1019
8,599617367361.4619,1780930534629.54,-89,96,-1012
8,599617367361.4619,1780930534629.546,-92,93,-1018
8,599617367361.4619,1780930534629.552,-89,94,-1018
8,599617367361.4619,1780930534629.568,-90,93,-1027
8,599617367361.4619,1780930534629.575,-87,95,-1025
8,599617367361.4619,1780930534629.581,-89,93,-1019
8,599617367361.4619,1780930534629.587,-87,93,-1022
8,599617367361.4619,1780930534629.592,-93,93,-1023
8,599617367361.4619,1780930534629.598,-86,94,-1019
8,599617367361.4619,1780930534629.604,-93,93,-1022
8,599617367361.4619,1780930534629.61,-92,95,-1019
8,599617367361.4619,1780930534629.616,-88,93,-1020
8,599617367361.4619,1780930534629.621,-90,95,-1020
8,599617367361.4619,1780930534629.627,-89,94,-1022
8,599617367361.4619,1780930534629.632,-87,94,-1021
8,599617367361.4619,1780930534629.638,-88,94,-1019
8,599617367361.4619,1780930534629.6438,-88,96,-1024
8,599617367361.4619,1780930534629.649,-89,96,-1019
8,599617367361.4619,1780930534629.664,-87,93,-1017
8,599617367361.4619,1780930534629.67,-87,92,-1015
8,599617367361.4619,1780930534629.676,-90,94,-1017
8,599617367361.4619,1780930534629.6812,-86,94,-1021
8,599617367361.4619,1780930534629.687,-91,97,-1022
8,599617367361.4619,1780930534629.693,-86,94,-1020
8,599617367361.4619,1780930534629.699,-91,94,-1018
8,599617367361.4619,1780930534629.7048,-88,95,-1019
8,599617367361.4619,1780930534629.71,-89,95,-1022
8,599617367361.4619,1780930534629.7158,-84,93,-1023
8,599617367361.4619,1780930534629.7222,-84,93,-1016
8,599617367361.4619,1780930534629.728,-90,95,-1022
8,599617367361.4619,1780930534629.7559,-87,94,-1019
8,599617367361.4619,1780930534629.7651,-90,94,-1021
8,599617367361.4619,1780930534629.772,-89,95,-1016
9,599617367543.4103,1780930534810.9429,-87,92,-1019
9,599617367543.4103,1780930534810.959,-90,94,-1020
9,599617367543.4103,1780930534810.967,-88,97,-1021
9,599617367543.4103,1780930534810.973,-93,94,-1016
9,599617367543.4103,1780930534810.979,-89,94,-1012
9,599617367543.4103,1780930534810.99,-93,94,-1021
9,599617367543.4103,1780930534810.996,-84,95,-1022
9,599617367543.4103,1780930534811.001,-84,94,-1027
9,599617367543.4103,1780930534811.007,-89,95,-1021
9,599617367543.4103,1780930534811.012,-88,93,-1022
9,599617367543.4103,1780930534811.018,-87,91,-1018
9,599617367543.4103,1780930534811.024,-88,96,-1024
9,599617367543.4103,1780930534811.029,-86,95,-1024
9,599617367543.4103,1780930534811.035,-89,93,-1020
9,599617367543.4103,1780930534811.04,-90,94,-1023
9,599617367543.4103,1780930534811.046,-86,93,-1018
9,599617367543.4103,1780930534811.052,-86,95,-1021
9,599617367543.4103,1780930534811.059,-90,94,-1024
9,599617367543.4103,1780930534811.065,-86,93,-1022
9,599617367543.4103,1780930534811.0708,-88,94,-1023
9,599617367543.4103,1780930534811.0771,-86,95,-1018
9,599617367543.4103,1780930534811.0818,-88,94,-1016
9,599617367543.4103,1780930534811.0881,-89,93,-1023
9,599617367543.4103,1780930534811.093,-86,93,-1021
9,599617367543.4103,1780930534811.099,-87,95,-1021
9,599617367543.4103,1780930534811.105,-91,93,-1020
9,599617367543.4103,1780930534811.11,-86,94,-1024
9,599617367543.4103,1780930534811.116,-86,94,-1021
9,599617367543.4103,1780930534811.121,-90,95,-1022
9,599617367543.4103,1780930534811.1301,-87,96,-1021
9,599617367543.4103,1780930534811.135,-86,93,-1022
9,599617367543.4103,1780930534811.141,-88,95,-1025
9,599617367543.4103,1780930534811.146,-88,95,-1020
9,599617367543.4103,1780930534811.152,-91,95,-1016
9,599617367543.4103,1780930534811.157,-85,94,-1022
9,599617367543.4103,1780930534811.1628,-86,92,-1021
10,599617367725.4196,1780930534945.395,-88,91,-1021
10,599617367725.4196,1780930534945.421,-89,93,-1022
10,599617367725.4196,1780930534945.435,-85,95,-1021
10,599617367725.4196,1780930534945.448,-82,96,-1023
10,599617367725.4196,1780930534945.461,-88,94,-1021
10,599617367725.4196,1780930534945.476,-87,95,-1016
10,599617367725.4196,1780930534945.489,-86,93,-1022
10,599617367725.4196,1780930534945.502,-90,95,-1021
10,599617367725.4196,1780930534945.514,-87,94,-1020
10,599617367725.4196,1780930534945.527,-84,95,-1017
10,599617367725.4196,1780930534945.539,-84,94,-1021
10,599617367725.4196,1780930534945.552,-89,94,-1018
10,599617367725.4196,1780930534945.564,-90,95,-1014
10,599617367725.4196,1780930534945.577,-92,95,-1017
10,599617367725.4196,1780930534945.589,-87,91,-1016
10,599617367725.4196,1780930534945.602,-90,94,-1020
10,599617367725.4196,1780930534945.626,-86,95,-1022
10,599617367725.4196,1780930534945.638,-84,94,-1020
10,599617367725.4196,1780930534945.6511,-87,94,-1020
10,599617367725.4196,1780930534945.663,-87,95,-1019
10,599617367725.4196,1780930534945.676,-85,94,-1027
10,599617367725.4196,1780930534945.688,-86,93,-1021
10,599617367725.4196,1780930534945.7,-87,95,-1021
10,599617367725.4196,1780930534945.7131,-85,96,-1019
10,599617367725.4196,1780930534945.7249,-86,92,-1021
10,599617367725.4196,1780930534945.738,-87,94,-1020
10,599617367725.4196,1780930534945.75,-88,95,-1023
10,599617367725.4196,1780930534945.7632,-86,95,-1021
10,599617367725.4196,1780930534945.7769,-90,93,-1025
10,599617367725.4196,1780930534945.79,-87,93,-1022
10,599617367725.4196,1780930534945.802,-86,91,-1018
10,599617367725.4196,1780930534945.8152,-90,94,-1018
10,599617367725.4196,1780930534945.827,-84,93,-1017
10,599617367725.4196,1780930534945.8398,-88,96,-1021
10,599617367725.4196,1780930534945.852,-93,96,-1021
10,599617367725.4196,1780930534945.865,-87,96,-1023
11,599617367907.3984,1780930535125.08,-86,93,-1024
11,599617367907.3984,1780930535125.1372,-89,95,-1024
11,599617367907.3984,1780930535125.168,-87,95,-1030
11,599617367907.3984,1780930535125.196,-87,93,-1018
11,599617367907.3984,1780930535125.227,-86,93,-1022
11,599617367907.3984,1780930535125.324,-88,94,-1019
11,599617367907.3984,1780930535125.353,-88,95,-1021
11,599617367907.3984,1780930535125.3801,-90,97,-1025
11,599617367907.3984,1780930535125.407,-87,96,-1026
11,599617367907.3984,1780930535125.4329,-85,94,-1031
11,599617367907.3984,1780930535125.46,-90,95,-1025
11,599617367907.3984,1780930535125.5,-83,95,-1019
11,599617367907.3984,1780930535125.526,-86,94,-1022
11,599617367907.3984,1780930535125.553,-88,97,-1020
11,599617367907.3984,1780930535125.579,-85,96,-1022
11,599617367907.3984,1780930535125.6052,-84,96,-1020
11,599617367907.3984,1780930535125.631,-86,94,-1016
11,599617367907.3984,1780930535125.657,-86,94,-1017
11,599617367907.3984,1780930535125.683,-85,96,-1019
11,599617367907.3984,1780930535125.709,-82,95,-1023
11,599617367907.3984,1780930535125.735,-88,93,-1020
11,599617367907.3984,1780930535125.761,-90,95,-1011
11,599617367907.3984,1780930535125.787,-87,93,-1019
11,599617367907.3984,1780930535125.814,-87,94,-1013
11,599617367907.3984,1780930535125.8398,-88,93,-1011
11,599617367907.3984,1780930535125.866,-88,94,-1014
11,599617367907.3984,1780930535125.8918,-89,93,-1018
11,599617367907.3984,1780930535125.9192,-87,94,-1018
11,599617367907.3984,1780930535125.945,-87,94,-1016
11,599617367907.3984,1780930535125.972,-85,93,-1019
11,599617367907.3984,1780930535125.998,-84,95,-1022
11,599617367907.3984,1780930535126.026,-85,95,-1021
11,599617367907.3984,1780930535126.084,-91,95,-1021
11,599617367907.3984,1780930535126.143,-85,96,-1019
11,599617367907.3984,1780930535126.173,-87,95,-1019
11,599617367907.3984,1780930535126.201,-87,95,-1020
12,599617368089.3163,1780930535305.4768,-85,95,-1024
