,timestamp,x,y,z,time
202,599620913060,-80,120,-1026,1019
203,599620913065,-83,128,-1022,1024
204,599620913070,-81,120,-1022,1029
205,599620913075,-82,125,-1021,1034
206,599620913080,-82,123,-1019,1039
207,599620913085,-82,124,-1023,1044
208,599620913090,-80,121,-1021,1049
209,599620913095,-84,116,-1017,1054
210,599620913100,-82,121,-1020,1059
211,599620913105,-84,124,-1025,1064
212,599620913110,-84,122,-1024,1069
213,599620913115,-83,120,-1022,1074
214,599620913120,-79,124,-1027,1079
215,599620913125,-80,121,-1021,1084
216,599620913132,-82,123,-1025,1091
217,599620913137,-79,124,-1022,1096
218,599620913142,-79,117,-1021,1101
219,599620913147,-82,121,-1017,1106
220,599620913152,-83,121,-1019,1111
221,599620913157,-81,122,-1021,1116
222,599620913162,-82,118,-1019,1121
223,599620913167,-83,123,-1026,1126
224,599620913172,-84,122,-1017,1131
225,599620913177,-76,123,-1021,1136
226,599620913182,-83,124,-1023,1141
227,599620913187,-84,123,-1021,1146
228,599620913192,-82,121,-1023,1151
229,599620913197,-84,122,-1021,1156
230,599620913202,-84,124,-1021,1161
231,599620913207,-83,124,-1022,1166
232,599620913212,-85,121,-1023,1171
233,599620913217,-79,125,-1023,1176
234,599620913222,-83,124,-1021,1181
235,599620913227,-82,124,-1020,1186
236,599620913232,-89,122,-1027,1191
237,599620913237,-85,121,-1021,1196
238,599620913242,-84,127,-1024,1201
239,599620913247,-81,125,-1025,1206
240,599620913252,-84,127,-1026,1211
241,599620913257,-86,120,-1025,1216
242,599620913262,-83,124,-1021,1221
243,599620913267,-81,125,-1026,1226
244,599620913272,-83,126,-1023,1231
245,599620913277,-85,125,-1022,1236
246,599620913282,-86,125,-1019,1241
247,599620913287,-81,127,-1022,1246
248,599620913292,-77,125,-1021,1251
249,599620913297,-84,124,-1023,1256
250,599620913302,-84,126,-1026,1261
251,599620913307,-83,128,-1024,1266
252,599620913313,-81,125,-1016,1272
253,599620913318,-81,125,-1021,1277
254,599620913323,-80,121,-1023,1282
255,599620913328,-84,125,-1021,1287
256,599620913333,-82,124,-1021,1292
257,599620913338,-85,126,-1024,1297
258,599620913343,-84,126,-1026,1302
259,599620913348,-84,127,-1023,1307
260,599620913353,-82,122,-1019,1312
261,599620913358,-83,125,-1019,1317
262,599620913363,-84,124,-1023,1322
263,599620913368,-80,122,-1016,1327
264,599620913373,-82,121,-1021,1332
265,599620913378,-84,126,-1021,1337
266,599620913383,-80,128,-1026,1342
267,599620913388,-82,126,-1022,1347
268,599620913393,-83,123,-1031,1352
269,599620913398,-84,125,-1018,1357
270,599620913403,-84,122,-1022,1362
271,599620913408,-80,122,-1019,1367
272,599620913413,-85,124,-1018,1372
273,599620913418,-79,123,-1025,1377
274,599620913423,-79,122,-1027,1382
275,599620913428,-82,125,-1032,1387
276,599620913433,-82,123,-1021,1392
277,599620913438,-76,124,-1023,1397
278,599620913443,-79,123,-1022,1402
279,599620913448,-80,120,-1028,1407
